ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
ZMB,348682,Delivery by cesarean section,2.5,1,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_CSC,83606120,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELACCSC,,1992,DHS,2774,2791,,,
ZMB,834704,Number of live births (or stillbirths) in the last two (or three/five) years,4064,0,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_NUM,83606130,D,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELACNUM,,1992,DHS,,4074,,,
ZMB,295244,Number of live births (or stillbirths) in the last two (or three/five) years,6279,0,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_NUM,83606130,D,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELACNUM,,1992,DHS,,6299,,,
ZMB,49667,Number of live births (or stillbirths) in the last two (or three/five) years,2774,0,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_NUM,83606130,D,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELACNUM,,1992,DHS,,2791,,,
ZMB,834729,Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),4074,0,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_UNW,83606140,U,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELACUNW,,1992,DHS,4064,,,,
ZMB,564695,Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),6299,0,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_UNW,83606140,U,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELACUNW,,1992,DHS,6279,,,,
ZMB,348676,Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),2791,0,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_UNW,83606140,U,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELACUNW,,1992,DHS,2774,,,,
ZMB,834703,Children with symptoms of ARI,13.9,1,ZM,Zambia,1992,ZM1992DHS,CH_ARIS_C_ARI,93966010,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHARISCARI,,1992,DHS,3562,3565,,,
ZMB,670098,Children with symptoms of ARI,12.6,1,ZM,Zambia,1992,ZM1992DHS,CH_ARIS_C_ARI,93966010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,1,CHARISCARI,,1992,DHS,5396,5395,,,
ZMB,834688,Number of children born in the last five (or three) years,3562,0,ZM,Zambia,1992,ZM1992DHS,CH_ARIS_C_NUM,93966020,D,1000,0,Total,Total,14000,Three years preceding the survey,1,0,CHARISCNUM,,1992,DHS,,3565,,,
