system:index,district,month,temperature_c,year,.geo
000000000000000007d9_0_2,Lusaka,3.0,27.55639251963183,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d9_0_3,Lusaka,4.0,26.395752197843688,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d9_0_4,Lusaka,5.0,26.309578962766267,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d9_0_5,Lusaka,6.0,23.50483064986823,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d9_0_6,Lusaka,7.0,25.11035977429156,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d9_0_7,Lusaka,8.0,31.397545130606257,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d9_0_8,Lusaka,9.0,37.083026071092014,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d9_0_9,Lusaka,10.0,39.58974178300804,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d9_0_10,Lusaka,11.0,36.18182313382411,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d9_0_11,Lusaka,12.0,31.751083089693243,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d9_1_0,Lusaka,1.0,26.012985434693707,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d9_1_1,Lusaka,2.0,26.644145556319298,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d9_1_2,Lusaka,3.0,26.475862110377204,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d9_1_3,Lusaka,4.0,27.29848417647788,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d9_1_4,Lusaka,5.0,27.38903674797829,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d9_1_5,Lusaka,6.0,26.6347941301944,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d9_1_6,Lusaka,7.0,25.371841263896467,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d9_1_7,Lusaka,8.0,30.364083902827453,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d9_1_8,Lusaka,9.0,36.94516908215512,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d9_1_9,Lusaka,10.0,39.33293909259277,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d9_1_10,Lusaka,11.0,38.46942036053476,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d9_1_11,Lusaka,12.0,33.935979239446304,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d9_2_0,Lusaka,1.0,27.52080388023096,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d9_2_1,Lusaka,2.0,29.605317732552358,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d9_2_2,Lusaka,3.0,28.852512704274652,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d9_2_3,Lusaka,4.0,28.450374323089527,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d9_2_4,Lusaka,5.0,26.506607764831294,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d9_2_5,Lusaka,6.0,25.503651765246154,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d9_2_6,Lusaka,7.0,27.36077963971019,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
